date,Discharge
1991-01,0.1112
1991-02,0.1794
1991-03,2.2374
1991-04,0.4757
1991-05,0.5660
1991-06,8.8942
1991-07,4.2894
1991-08,8.8088
1991-09,0.9437
1991-10,3.8997
1991-11,0.5470
1991-12,0.3378
1992-01,0.5694
1992-02,1.6969
1992-03,0.1754
1992-04,7.0075
1992-05,5.4771
1992-06,7.2081
1992-07,4.8457
1992-08,4.3455
1992-09,3.0202
1992-10,2.0632
1992-11,2.1607
1992-12,0.9455
1993-01,0.1682
1993-02,0.2323
1993-03,0.2986
1993-04,1.5245
1993-05,6.0039
1993-06,2.7066
1993-07,5.7693
1993-08,5.3034
1993-09,0.7100
1993-10,1.1826
1993-11,2.3392
1993-12,0.2723
1994-01,0.3165
1994-02,0.7796
1994-03,2.4287
1994-04,2.5777
1994-05,1.7651
1994-06,4.9416
1994-07,5.6631
1994-08,4.8227
1994-09,3.6210
1994-10,0.5586
1994-11,0.8627
1994-12,0.2730
1995-01,0.4004
1995-02,1.2624
1995-03,0.1116
1995-04,0.0816
1995-05,3.2793
1995-06,4.7625
1995-07,6.8008
1995-08,4.5991
1995-09,3.8317
1995-10,2.6488
1995-11,0.3732
1995-12,0.1311
1996-01,0.1234
1996-02,0.1248
1996-03,0.3502
1996-04,0.1386
1996-05,3.9475
1996-06,2.5689
1996-07,8.2905
1996-08,2.0823
1996-09,3.2415
1996-10,1.0416
1996-11,0.4144
1996-12,3.6373
1997-01,0.2588
1997-02,0.5768
1997-03,0.1255
1997-04,0.4657
1997-05,0.4975
1997-06,0.3806
1997-07,4.1745
1997-08,3.5128
1997-09,2.7354
1997-10,0.9276
1997-11,0.3353
1997-12,0.2076
1998-01,0.1893
1998-02,0.1251
1998-03,0.1180
1998-04,0.0818
1998-05,0.2957
1998-06,3.5661
1998-07,0.8078
1998-08,1.8635
1998-09,0.2820
1998-10,0.7568
1998-11,1.5098
1998-12,0.2885
1999-01,0.1145
1999-02,0.0532
1999-03,0.6267
1999-04,0.2373
1999-05,0.2189
1999-06,0.8493
1999-07,4.0961
1999-08,7.2785
