relative_month,min,mean,max,13%,28%,72%,87%
1,0.0039,0.3067,1.6969,0.0534,0.1176,0.2634,0.6608
2,0.0486,0.4934,3.4231,0.0951,0.1153,0.3340,1.1151
3,0.0816,1.7214,11.1730,0.1258,0.1531,2.5020,4.3599
4,0.1305,2.7511,9.6444,0.2778,0.4885,3.7864,6.4392
5,0.3308,4.0376,12.4308,0.7419,2.2807,6.1786,7.2417
6,0.3187,5.0887,14.6576,1.0744,3.3729,6.6432,8.5725
7,0.5569,3.4574,8.8088,1.4558,1.7797,4.4936,6.2891
8,0.2820,2.5032,8.7663,0.5987,1.2217,3.4631,4.1437
9,0.1528,1.5713,4.8588,0.3545,0.5378,2.3162,3.2149
10,0.1077,0.9471,4.2008,0.1881,0.3031,1.0560,2.3158
11,0.0416,0.4450,3.6373,0.1310,0.2078,0.3893,0.5993
12,0.0254,0.2472,1.6357,0.0870,0.1182,0.2296,0.3931
